id,importanceSampling
1,-71.629668
2,-69.018319
3,-55.199653
4,-72.969354
5,-63.206636
6,-73.521466
7,-91.445940
8,-77.680364
9,-78.085838
10,-62.265901
11,-92.762520
12,-57.775176
13,-73.491403
14,-48.741206
15,-49.132956
16,-56.689244
17,-64.657697
18,-27.704067
19,-64.792453
20,-40.477015
21,-48.751809
22,-36.670023
23,-47.233960
24,-42.163413
25,-31.140857
26,-41.452847
27,-41.396735
28,-14.333837
29,-34.545523
30,-42.395350
31,-49.175344
32,-30.779803
33,-44.656010
