"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","EGFRCL","CL","V1","V2","Q","KD","N","ETA(1)","ETA(2)","EPS(1)","seEGFRCL","seCL","seV1","seV2","seQ","seKD","seN","seETA(1)","seETA(2)","seEPS(1)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
214,1,1,0,1,0,0,0,0,0,0,0,0,3.6,NA,FOCE_I,NA,108.21,0,-7165.1645385115189,1.66191,7.98219,46.877,45.7681,22.1612,0.0518373,0.91676,0.0813855,0.207673,0.0472739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,1,1,0,0,0,0,0,1,0,0,1,0,2.8,NA,FOCE_I,NA,188.87,0,-7353.6156175817687,1.8893,7.78434,52.2012,47.9715,23.542,0.0359184,0.794455,0.111447,0.267385,0.0435521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,1,1,0,1,0,0,0,0,0,0,0,0,3.7,NA,FOCE_I,NA,224.43,0,-7631.9780128952680,1.67173,7.91782,47.7081,47.4744,21.4171,0.0528033,0.900793,0.0567734,0.209182,0.0470568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,1,1,0,1,0,0,0,0,0,0,1,0,3.4,NA,FOCE_I,NA,261.68,0,-7384.1221049881433,1.6572,8.5489,49.8434,45.1601,19.3463,0.0474333,0.847154,0.0687425,0.184026,0.0529173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,180.26,0,-7279.8719973108809,1.63569,7.47564,52.8954,43.6855,20.9552,0.0387818,0.795871,0.0901165,0.221561,0.0492009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,1,1,0,0,0,0,0,1,0,0,0,0,2.8,NA,FOCE_I,NA,190.41,0,-7440.1824288055395,1.64229,7.59817,55.01,42.8005,21.4296,0.0305047,0.712723,0.118627,0.35374,0.0504206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,1,1,0,1,0,0,0,0,0,0,0,0,3,NA,FOCE_I,NA,86.2,0,-7537.7753122143067,1.66872,8.66975,60.0351,41.9765,18.8556,0.031774,0.739378,0.14152,0.370039,0.0500984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,151.41,0,-7493.3040799036771,1.47371,7.6106,56.9932,46.3423,21.2854,0.0484144,0.883823,0.0904053,0.297063,0.0424398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,292.41,0,-7272.0760219427520,1.7434,8.22412,48.3799,41.6679,20.931,0.0355492,0.789891,0.112101,0.312864,0.0426531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,1,1,0,0,0,0,0,1,0,0,0,0,2.8,NA,FOCE_I,NA,221.66,0,-7394.6938925625245,1.71445,8.72703,52.4778,46.5224,23.3391,0.0434806,0.888419,0.0658152,0.275457,0.0492182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,264.97,0,-7154.6182401470123,1.63517,8.08418,45.4911,49.9637,24.0148,0.0524335,0.941551,0.0794256,0.351045,0.0437906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,1,1,0,0,0,0,0,1,0,0,0,0,2.7,NA,FOCE_I,NA,156.64,0,-7248.5308938171183,1.44501,7.266,55.3931,43.3031,20.2843,0.0444292,0.862953,0.107199,0.300404,0.0426841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,125.13,0,-7428.1167492481645,1.5961,8.09165,51.3865,44.8176,22.4837,0.0443289,0.873333,0.0878714,0.253603,0.0464853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,1,1,0,0,0,0,0,0,1,1,0,0,NA,NA,FOCE_I,NA,223.13,0,-7653.8095652831153,1.63607,7.55026,56.6095,40.6419,21.7786,0.0597571,1.05812,0.0812834,0.290653,0.0392867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,169.88,0,-7280.7747166291147,1.41926,7.96592,59.8548,44.0613,20.4271,0.0438675,0.862156,0.0821433,0.288655,0.0437478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,266.64,0,-6965.3567477640681,1.67391,7.46011,48.1951,45.8533,20.2171,0.0427314,0.830245,0.124068,0.301861,0.0458524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,325.32,0,-7652.3055011443657,1.60868,7.91132,52.3171,42.9538,19.6554,0.0422947,0.847488,0.0965697,0.258627,0.0446169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,1,1,0,1,0,0,0,0,0,0,0,0,3.6,NA,FOCE_I,NA,203.81,0,-7816.4018177147009,1.77667,8.79875,55.4403,42.6211,20.7239,0.0520349,0.921388,0.095672,0.213167,0.0476721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,1,1,0,1,0,0,0,0,0,0,1,0,3.1,NA,FOCE_I,NA,242.21,0,-7828.1906771437816,1.73124,8.48989,56.4456,44.8054,21.1937,0.0417965,0.841944,0.0784763,0.27137,0.0501516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,1,1,0,1,0,0,0,0,0,0,1,0,3.1,NA,FOCE_I,NA,282.56,0,-7369.2706625932015,1.44292,8.53107,57.2662,43.576,18.9954,0.0460555,0.893838,0.0745012,0.20611,0.0485848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,225.62,0,-7088.2248614638756,1.67421,7.60395,48.2247,44.0209,21.2249,0.0468069,0.884391,0.0971919,0.353435,0.043983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,136.82,0,-6890.5350309635269,1.32363,8.45813,55.5987,43.4111,17.5746,0.0453826,0.868883,0.0957384,0.315272,0.0407043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,138.3,0,-7205.7828368751634,1.47192,8.79834,56.0385,45.9923,19.4232,0.0390782,0.826797,0.0742182,0.247756,0.049935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,1,1,0,0,0,0,0,1,0,0,0,0,2.2,NA,FOCE_I,NA,237.78,0,-7305.9324489154415,1.58243,8.19363,49.6058,42.5164,19.4807,0.0448243,0.852453,0.0822397,0.323082,0.0439859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,1,1,0,1,0,0,0,0,0,0,2,0,3.1,NA,FOCE_I,NA,307.04,0,-7375.7155618389252,1.63897,7.97309,53.8615,37.5547,19.1857,0.0391216,0.794553,0.115116,0.346041,0.0465539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,1,1,0,1,0,0,0,0,0,0,1,0,3.1,NA,FOCE_I,NA,219.12,0,-7456.4499131139764,1.52609,8.44572,60.7464,43.2533,20.1733,0.0411273,0.834836,0.123686,0.319823,0.0447118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,285.91,0,-7449.0726240824415,1.5146,8.3917,60.6653,42.2483,21.8739,0.0423915,0.857622,0.127203,0.32955,0.0451596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,158.02,0,-7956.2730548156906,1.65419,8.89723,67.9919,46.6775,20.0776,0.0329007,0.76167,0.0906204,0.186898,0.0479148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,FOCE_I,NA,155.86,0,-7222.7473635492270,1.82693,7.94443,52.0478,38.828,19.7496,0.0433414,0.833982,0.111132,0.312066,0.0433545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,1,1,0,1,0,0,0,0,0,0,1,0,3.3,NA,FOCE_I,NA,241.8,0,-7536.0374348134228,1.58728,9.14817,56.1118,43.8972,22.1465,0.0379603,0.806214,0.126385,0.366228,0.0451954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,1,1,0,1,0,0,0,0,0,0,2,0,3.3,NA,FOCE_I,NA,381.02,0,-7289.9011296205153,1.76246,8.59562,52.1199,45.5516,19.3037,0.046179,0.882802,0.0817923,0.227928,0.0516759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,130.41,0,-7136.7324535751959,1.42305,8.35411,56.6551,44.7469,19.9435,0.047412,0.917944,0.123122,0.280618,0.0362987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,239.56,0,-7377.3444095067516,1.5976,8.90358,59.001,42.4697,20.6499,0.0350054,0.786669,0.0866282,0.268798,0.0508505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,1,1,0,0,0,0,0,1,0,0,0,0,3,NA,FOCE_I,NA,268.94,0,-7797.3317021151997,1.48465,8.16653,59.2808,45.1978,19.7789,0.043172,0.838797,0.105438,0.164709,0.0453675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,251.12,0,-7803.2305431524665,1.52426,8.11338,65.9135,40.4881,21.814,0.0370885,0.802792,0.103499,0.237108,0.0454108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,260.43,0,-7589.5781406864189,1.55557,8.6897,56.9061,44.6387,20.1571,0.0431827,0.861497,0.0857196,0.310102,0.0472412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,106.06,0,-7628.3198185006249,1.64654,8.38759,60.385,45.2876,20.5754,0.0407582,0.844518,0.0893174,0.218628,0.0497988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,139.64,0,-7456.6839202136380,1.51341,7.98958,50.0132,46.9154,20.7342,0.0492809,0.86915,0.0937287,0.210846,0.046097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,1,1,0,0,0,0,0,1,0,0,0,0,2.8,NA,FOCE_I,NA,107.34,0,-8032.3036542567925,1.46517,8.58785,63.6455,45.4725,23.7702,0.0385467,0.80481,0.0663358,0.219209,0.045892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,165.74,0,-7511.1066905517819,1.5717,9.34048,62.7282,48.5905,22.5786,0.0307627,0.76141,0.083699,0.285364,0.0535943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,292.19,0,-7099.8657837833189,1.50582,8.83874,52.1911,45.5806,19.0014,0.0426354,0.855718,0.0951989,0.257346,0.0464137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,1,1,0,0,0,0,0,1,0,0,1,0,2.7,NA,FOCE_I,NA,226.59,0,-7141.8713102698148,1.4479,8.59745,61.7505,46.7088,20.3547,0.0427427,0.890716,0.0993351,0.240985,0.0443428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,1,1,0,1,0,0,0,0,0,0,2,0,3.1,NA,FOCE_I,NA,434.17,0,-6970.3457830174375,1.64681,7.6656,47.0075,44.4471,20.2707,0.0381957,0.800061,0.0949808,0.265891,0.0475306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,128.69,0,-7683.5810348531986,1.5633,8.08542,58.9196,38.4619,17.2839,0.0403076,0.808594,0.0887671,0.290538,0.0408986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,1,1,0,0,0,0,0,0,0,0,1,0,NA,NA,FOCE_I,NA,267.66,0,-7494.0252829108658,1.85886,7.85039,52.3454,38.6676,20.2946,0.0367823,0.782145,0.112757,0.344709,0.0459418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,1,1,0,1,0,0,0,0,0,0,0,0,3,NA,FOCE_I,NA,128.25,0,-7617.7199760344529,1.41316,8.7188,62.1699,43.1593,21.5648,0.0404996,0.841446,0.0585518,0.204038,0.0419486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,108.36,0,-7165.0444871903428,1.67425,8.83868,51.88,45.3641,21.9528,0.0443429,0.872339,0.0745221,0.250694,0.0517473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,1,1,0,1,0,0,0,0,0,0,1,0,3.3,NA,FOCE_I,NA,178.51,0,-7427.3493058704507,1.49339,8.65675,52.8786,42.8881,19.0164,0.0448564,0.84695,0.0622809,0.24598,0.0545416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,1,1,0,1,0,0,0,0,0,0,1,0,3.4,NA,FOCE_I,NA,1818.09,0,-7424.5006313586136,1.53872,8.96536,57.0199,45.5685,19.3922,0.0412422,0.842297,0.096205,0.238332,0.0511328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,1,1,0,0,0,0,0,1,0,0,0,0,3,NA,FOCE_I,NA,137.17,0,-7023.6693451481115,1.74899,7.45474,45.5284,42.5293,19.7787,0.0392735,0.801293,0.113573,0.465705,0.0514263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,193.79,0,-7554.5180683051485,1.52036,7.9616,61.3544,42.1013,19.1595,0.0375888,0.810973,0.104311,0.243769,0.0424548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,128.45,0,-6750.5485745913747,1.52909,7.65026,52.2336,44.3431,19.5764,0.0381794,0.816698,0.125065,0.309244,0.0494871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,1,1,0,1,0,0,0,0,0,0,0,0,3.6,NA,FOCE_I,NA,1780.06,0,-7635.7328421449092,1.63742,7.8257,55.1584,47.2648,22.1445,0.0420171,0.846738,0.0965606,0.223678,0.0438846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,1686.95,0,-7836.3136255075569,1.73015,8.73442,56.2805,44.2178,21.6019,0.0422189,0.866323,0.108836,0.227513,0.0428576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,1,1,0,1,0,0,0,0,0,0,1,0,3.4,NA,FOCE_I,NA,1725.75,0,-7496.3248435121795,1.50215,8.05839,63.4073,46.2443,19.0433,0.0430446,0.86222,0.128887,0.216977,0.0441191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,1,1,0,0,0,0,0,1,0,0,0,0,1.7,NA,FOCE_I,NA,1690.3,0,-7314.4448802407578,1.70363,8.80066,58.5048,41.3692,21.3851,0.0423701,0.840642,0.0902927,0.219382,0.0470038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,1829.97,0,-7370.3887556990685,1.62626,8.67477,50.3113,43.0342,20.4929,0.0451183,0.855879,0.0856197,0.188359,0.0429349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,498.03,0,-7555.5467213661277,1.73639,7.83498,55.6292,45.8564,24.0272,0.040597,0.831761,0.0937814,0.396114,0.0394974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,1,1,0,1,0,0,0,0,0,0,1,0,3.5,NA,FOCE_I,NA,602.17,0,-7491.8419014269375,1.57799,7.68423,54.1733,41.4077,18.9934,0.044953,0.871725,0.118871,0.358405,0.0434857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,403.19,0,-7817.5172606773485,1.68158,8.13206,52.76,46.6504,23.6733,0.0439811,0.888237,0.066593,0.27242,0.0520699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,1,1,0,1,0,0,0,0,0,0,1,0,3.5,NA,FOCE_I,NA,253.92,0,-7047.7242382512813,1.41992,7.52485,57.4077,39.8832,20.112,0.0363052,0.797564,0.108698,0.345061,0.0502045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,106.86,0,-7231.4124581986316,1.37624,7.44824,47.2595,42.6175,17.6849,0.04418,0.826949,0.0715899,0.298613,0.0471084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,196.08,0,-7679.6508716725120,1.5918,8.49336,56.469,47.687,25.2178,0.0402432,0.873863,0.072343,0.261403,0.0440647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,226.07,0,-7315.0424821863435,1.54904,8.11439,49.8283,48.2868,21.3219,0.0446929,0.864768,0.0461879,0.158681,0.0505795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,1,1,0,1,0,0,0,0,0,0,1,0,3.4,NA,FOCE_I,NA,320.88,0,-7319.8332641601692,1.63314,8.19873,53.8157,44.8819,20.2463,0.0470847,0.917731,0.135781,0.391159,0.0425161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,1,1,0,1,0,0,0,0,0,0,1,0,3.7,NA,FOCE_I,NA,538.73,0,-7575.2792576031579,1.66186,8.00371,54.9812,42.7653,20.1612,0.0414118,0.846287,0.0862353,0.169535,0.0422816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,1,1,0,1,0,0,0,0,0,0,1,0,3.3,NA,FOCE_I,NA,336.73,0,-7954.5020155997045,1.57405,9.66528,68.71,46.3749,19.7878,0.0370418,0.817872,0.0920232,0.210763,0.0505887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,1,1,0,1,0,0,0,0,0,0,1,0,3.4,NA,FOCE_I,NA,337.42,0,-7258.8636932037261,1.47252,8.40068,62.8616,43.158,22.1212,0.0365255,0.816072,0.121841,0.242637,0.0434455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,1,1,0,1,0,0,0,0,0,0,0,0,3.6,NA,FOCE_I,NA,205.41,0,-7423.2125312762855,1.37159,8.22199,56.9727,45.0284,19.6331,0.0555621,0.975161,0.0640912,0.24878,0.0415144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,FOCE_I,NA,242.12,0,-7299.4025820725419,1.50159,7.84526,59.6159,41.9228,18.6119,0.0436205,0.877332,0.0882138,0.165371,0.0448085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,246.02,0,-7853.5477236938004,1.72922,8.63751,58.4063,44.565,20.9298,0.0419839,0.823322,0.0841557,0.179908,0.0439552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,1,1,0,1,0,0,0,0,0,0,1,0,3.4,NA,FOCE_I,NA,350.19,0,-7590.6509338814876,1.83618,7.96588,48.5595,40.9299,21.1426,0.0388411,0.788393,0.0868446,0.280702,0.0427193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,163.28,0,-7883.9682709365870,1.40038,8.83508,70.2235,43.5332,21.6895,0.0392121,0.842379,0.0911537,0.271,0.0394708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,201.84,0,-7421.0052409986274,1.63282,8.08586,55.8126,46.3973,20.1608,0.0407377,0.839944,0.111131,0.281205,0.0440515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,157.89,0,-7524.0420025947524,1.5568,8.20441,51.5677,43.2499,18.9075,0.0448593,0.834471,0.109879,0.279141,0.0467124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
