"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","EGFRCL","CL","V1","V2","Q","KD","N","ETA(1)","ETA(2)","EPS(1)","seEGFRCL","seCL","seV1","seV2","seQ","seKD","seN","seETA(1)","seETA(2)","seEPS(1)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
15,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,147.05,0,-7498.7527786588953,1.46224,8.61713,57.8445,41.2332,20.0047,0.0502475,0.909884,0.0775603,0.23519,0.0485582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,174.96,0,-7696.3070450728464,1.50146,7.9754,51.4662,43.0661,20.358,0.0448599,0.848407,0.0882967,0.257599,0.0466329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,243.01,0,-7971.0704754723984,1.57276,8.96651,64.2767,40.6589,19.8712,0.0356717,0.775733,0.0778756,0.275511,0.0435818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,187.68,0,-7473.0500740205543,1.6263,7.80861,52.7899,44.0107,20.3721,0.0379784,0.781509,0.0869774,0.272044,0.0513932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,140.79,0,-7701.5649860767571,1.4762,8.75578,64.4419,43.3966,21.2757,0.0459433,0.888719,0.0906679,0.185623,0.0449728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,1,0,1,0,0,0,0,0,0,0,0,3.9,NA,FOCE_I,NA,197.41,0,-7233.9022118558378,1.41946,8.18201,66.7386,43.7604,19.7085,0.0443879,0.923205,0.130955,0.303865,0.0446234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,172.67,0,-7241.8908036803186,1.52058,8.28828,54.6931,44.8934,20.0202,0.0460286,0.878427,0.107267,0.271241,0.050096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,1,0,1,0,0,0,0,0,0,1,0,3.2,NA,FOCE_I,NA,215.54,0,-7607.8727022803796,1.52652,8.22659,58.0816,43.1524,19.1284,0.038409,0.788044,0.0669839,0.273629,0.0471575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,172.51,0,-7446.2485488594302,1.46764,8.89713,61.9274,41.8485,18.6406,0.0389146,0.836227,0.0773947,0.21382,0.050353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,1,0,1,0,0,0,0,0,0,1,0,3.6,NA,FOCE_I,NA,372.69,0,-7458.6337666269264,1.51602,8.28618,57.8113,44.1595,21.4199,0.0418648,0.843523,0.10754,0.40135,0.0438961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
