VPC run info
"","          Date","  observations","   simulations","     Modelfile","Simulation model","Independent variable","Dependent variable","   PsN version","NONMEM version",
"",     2025-12-2,           992,           200,     run02.mod,auto-generated,           TAD,          CONC,        v5.6.0,       default,

VPC results  
Continuous data
992 observations out of 992
"","         < TAD","            <=","    median.idv","    no. of obs","     mean real","      mean sim","95%CI for mean from","95%CI for mean to","      50% real","       50% sim","95%CI for 50% from","95%CI for 50% to","      30% real","       30% sim","95%CI for 30% from","95%CI for 30% to","      70% real","       70% sim","95%CI for 70% from","95%CI for 70% to","      10% real","       10% sim","95%CI for 10% from","95%CI for 10% to","      90% real","       90% sim","95%CI for 90% from","95%CI for 90% to","       5% real","        5% sim","95%CI for 5% from","95%CI for 5% to","      95% real","       95% sim","95%CI for 95% from","95%CI for 95% to","     2.5% real","      2.5% sim","95%CI for 2.5% from","95%CI for 2.5% to","    97.5% real","     97.5% sim","95%CI for 97.5% from","95%CI for 97.5% to","PI 40% False pos (%)","PI 40% False neg (%)","PI 80% False pos (%)","PI 80% False neg (%)","PI 90% False pos (%)","PI 90% False neg (%)","PI 95% False pos (%)","PI 95% False neg (%)",
"first interval is closed",   0.002906977,         0.375,          0.25,            86,     0.1530082,     0.1529602,     0.1322772,     0.1750552,       0.13325,      0.112515,      0.087454,       0.14742,    5.2547E-02,    5.1733E-02,    3.9856E-02,    6.7993E-02,    2.1393E-01,    2.1517E-01,    1.8318E-01,    2.5510E-01,    2.3241E-02,    2.6290E-02,    2.1321E-02,    3.5432E-02,    3.1513E-01,    3.3394E-01,    2.8302E-01,    4.0444E-01,    1.7739E-02,    2.0215E-02,    1.4582E-02,    2.8855E-02,    3.6885E-01,    3.9024E-01,    3.1856E-01,    4.6468E-01,    1.6433E-02,    1.6227E-02,    1.0599E-02,    2.6437E-02,    4.1803E-01,    4.4284E-01,    3.4693E-01,    5.2414E-01,      20.93023,       25.5814,       12.7907,      11.62791,      10.46512,      5.813953,      2.325581,      4.651163,
"",         0.375,         0.875,         0.625,           122,     0.1900885,      0.179674,     0.1637245,     0.1981634,      0.152615,      0.140195,      0.119135,       0.16371,    6.3962E-02,    6.2664E-02,    5.1753E-02,    7.5660E-02,    2.5643E-01,    2.3459E-01,    2.0399E-01,    2.6343E-01,    2.7362E-02,    2.6871E-02,    2.0986E-02,    3.5240E-02,    4.1025E-01,    4.0004E-01,    3.4516E-01,    4.6930E-01,    1.9979E-02,    2.0276E-02,    1.5804E-02,    2.6965E-02,    5.1173E-01,    4.8661E-01,    4.0425E-01,    5.7540E-01,    1.7003E-02,    1.6234E-02,    1.2292E-02,    2.2917E-02,    5.6203E-01,    5.6074E-01,    4.4184E-01,    6.6181E-01,       20.4918,      24.59016,      16.39344,      17.21311,      11.47541,      11.47541,      4.918033,      6.557377,
"",         0.875,        1.8125,         1.125,           172,     0.1754397,      0.170625,     0.1556159,     0.1849705,       0.11986,      0.123525,       0.10373,       0.14014,    6.8495E-02,    6.4921E-02,    5.5706E-02,    7.8039E-02,    2.2763E-01,    2.2797E-01,    2.0076E-01,    2.5686E-01,    2.5405E-02,    2.4806E-02,    2.0106E-02,    3.0264E-02,    4.1072E-01,    3.8924E-01,    3.4260E-01,    4.3372E-01,    1.8424E-02,    1.8286E-02,    1.5275E-02,    2.3024E-02,    4.5557E-01,    4.5142E-01,    3.8971E-01,    4.9449E-01,    1.2020E-02,    1.4789E-02,    1.1562E-02,    1.8849E-02,    5.1688E-01,    5.0474E-01,    4.3826E-01,    5.7308E-01,      20.93023,       24.4186,      15.11628,      16.27907,      8.139535,       7.55814,      6.395349,      4.069767,
"",        1.8125,        4.3125,          2.25,           124,     0.1300577,      0.125263,     0.1145002,     0.1347772,     0.0902715,      0.086852,     0.0717195,       0.10374,    4.2368E-02,    3.7931E-02,    3.1231E-02,    4.4957E-02,    1.8007E-01,    1.6772E-01,    1.4504E-01,    1.8934E-01,    1.6863E-02,    1.6905E-02,    1.3664E-02,    2.0458E-02,    3.2803E-01,    2.9444E-01,    2.5859E-01,    3.3196E-01,    1.2066E-02,    1.3021E-02,    1.0676E-02,    1.6286E-02,    3.4864E-01,    3.5085E-01,    3.0615E-01,    4.0069E-01,    1.0719E-02,    1.0646E-02,    8.3835E-03,    1.4321E-02,    3.7857E-01,    4.0381E-01,    3.4138E-01,    4.7508E-01,      27.41935,       23.3871,      20.96774,      9.677419,      9.677419,      5.645161,      3.225806,       4.83871,
"",        4.3125,        9.3125,          6.25,           124,    0.09906679,    0.09537435,    0.08532784,     0.1049845,      0.056737,     0.0599325,      0.048078,     0.0733995,    3.0978E-02,    2.5018E-02,    2.0114E-02,    3.0298E-02,    1.2654E-01,    1.2367E-01,    1.0431E-01,    1.4479E-01,    1.1359E-02,    1.0561E-02,    8.4031E-03,    1.3352E-02,    2.5813E-01,    2.3631E-01,    2.0190E-01,    2.7807E-01,    7.2225E-03,    7.9110E-03,    5.9218E-03,    1.0326E-02,    2.7812E-01,    2.9253E-01,    2.3755E-01,    3.5042E-01,    6.2695E-03,    6.2237E-03,    4.0533E-03,    8.6682E-03,    3.2288E-01,    3.3861E-01,    2.6881E-01,    4.0722E-01,      22.58065,            25,      16.12903,      10.48387,      8.064516,      7.258065,       4.83871,      3.225806,
"",        9.3125,       16.3125,         12.25,           126,    0.07565429,    0.07529266,    0.06332552,    0.08567638,      0.034254,      0.041965,      0.032334,     0.0545885,    2.0574E-02,    1.7743E-02,    1.3686E-02,    2.3411E-02,    1.1249E-01,    9.3954E-02,    7.2313E-02,    1.1334E-01,    6.4604E-03,    6.8932E-03,    5.0774E-03,    9.5535E-03,    2.0202E-01,    1.9566E-01,    1.5743E-01,    2.4052E-01,    3.8543E-03,    4.7708E-03,    2.9673E-03,    6.9329E-03,    2.2506E-01,    2.4632E-01,    1.9441E-01,    3.0290E-01,    2.6830E-03,    3.3493E-03,    1.4886E-03,    5.5768E-03,    2.3734E-01,    2.9299E-01,    2.2685E-01,    3.6554E-01,      20.63492,      27.77778,      11.11111,      11.11111,      7.936508,      7.142857,      4.761905,      3.174603,
"",       16.3125,        22.125,         20.25,           120,    0.05072854,    0.05291032,    0.04268211,    0.06310573,     0.0241895,     0.0248365,      0.017962,      0.033868,    1.2541E-02,    1.0200E-02,    7.3774E-03,    1.3622E-02,    5.8786E-02,    5.9590E-02,    4.0930E-02,    7.4314E-02,    3.4264E-03,    3.4847E-03,    2.3798E-03,    5.6323E-03,    1.4322E-01,    1.4557E-01,    1.0691E-01,    1.8322E-01,    2.0227E-03,    2.1271E-03,    1.1857E-03,    3.8191E-03,    1.7100E-01,    1.9498E-01,    1.4313E-01,    2.4420E-01,    1.4415E-03,    1.3469E-03,    4.8568E-04,    2.9415E-03,    1.8796E-01,    2.3575E-01,    1.6857E-01,    2.9859E-01,      21.66667,      26.66667,          12.5,            10,      5.833333,      8.333333,           2.5,             5,
"",        22.125,        25.375,         23.75,           118,    0.04277672,    0.04123976,    0.03085297,    0.05155397,      0.018512,      0.017708,     0.0123565,      0.024062,    8.7692E-03,    7.1682E-03,    4.7667E-03,    9.9553E-03,    4.2070E-02,    4.3929E-02,    3.1554E-02,    5.9132E-02,    2.6008E-03,    2.3378E-03,    1.4237E-03,    3.9355E-03,    1.1463E-01,    1.1569E-01,    7.9390E-02,    1.4843E-01,    9.6427E-04,    1.3942E-03,    6.7122E-04,    2.4178E-03,    1.6271E-01,    1.6054E-01,    1.0974E-01,    2.0266E-01,    8.8333E-04,    8.4448E-04,    3.1563E-04,    1.9442E-03,    1.9360E-01,    1.9792E-01,    1.3216E-01,    2.5758E-01,      22.88136,      27.11864,      10.16949,      10.16949,      11.01695,      4.237288,      2.542373,      5.084746,

Diagnostics VPC  
""," False pos (%)"," False neg (%)",
"       PI 40% ",      22.17742,      25.50403,
"       PI 80% ",      14.51613,      12.29839,
"       PI 90% ",      8.971774,      7.258065,
"       PI 95% ",      4.133065,       4.53629,

NPC results  
bin 2: 86 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            44,      51.16279,              ,      33.72093,      67.44186,            42,      48.83721,              ,      32.55814,      66.27907,
"        40% PI",            32,       37.2093,              ,      16.27907,      45.34884,            23,      26.74419,              ,      15.11628,      46.51163,
"        80% PI",             7,      8.139535,              ,      3.488372,      19.76744,             9,      10.46512,              ,      1.162791,      18.60465,
"        90% PI",             1,      1.162791,              ,             0,       12.7907,             6,      6.976744,              ,             0,      11.62791,
"        95% PI",             1,      1.162791,              ,             0,      8.139535,             4,      4.651163,              ,             0,      8.139535,

NPC results  
bin 3: 122 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            60,      49.18033,              ,      37.70492,      63.11475,            62,      50.81967,              ,      36.88525,      62.29508,
"        40% PI",            36,       29.5082,              ,      19.67213,      42.62295,            47,      38.52459,              ,      18.03279,      42.62295,
"        80% PI",             5,      4.098361,              ,      3.278689,      18.03279,            21,      17.21311,              ,      4.098361,      17.21311,
"        90% PI",             4,      3.278689,              ,     0.8196721,      9.836066,            11,      9.016393,              ,     0.8196721,      10.65574,
"        95% PI",             3,      2.459016,              ,             0,      7.377049,             6,      4.918033,              ,             0,      5.737705,

NPC results  
bin 4: 172 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            85,       49.4186,              ,      38.95349,       62.2093,            87,       50.5814,              ,       37.7907,      61.04651,
"        40% PI",            54,      31.39535,              ,      20.93023,      41.86047,            52,      30.23256,              ,      18.60465,      39.53488,
"        80% PI",            18,      10.46512,              ,      4.651163,      16.27907,            22,       12.7907,              ,      4.651163,      16.86047,
"        90% PI",             7,      4.069767,              ,      1.744186,      9.883721,            11,      6.395349,              ,      1.162791,      9.302326,
"        95% PI",             1,     0.5813953,              ,     0.5813953,      5.813953,             7,      4.069767,              ,             0,      5.813953,

NPC results  
bin 5: 124 observations
